"query"	"MpTak_v6.1"
"Mp1g01140"	"Mp1g01140"
"Mp1g01150"	"Mp1g01150"
"Mp1g01160"	"Mp1g01160"
"Mp1g01170"	"Mp1g01170"
"Mp1g01180"	"Mp1g01180"
"Mp1g01190"	"Mp1g01190"
"Mp1g01200"	"Mp1g01200"
"Mp1g01210"	"Mp1g01210"
"Mp1g01220"	"Mp1g01220"
"Mp1g01230"	"Mp1g01230"
"Mp1g01240"	"Mp1g01240"
"Mp1g01250"	"Mp1g01250"
"Mp1g01260"	"Mp1g01260"
"Mp1g01270"	"Mp1g01270"
"Mp1g01280"	"Mp1g01280"
"Mp1g01290"	"Mp1g01290"
"Mp1g01300"	"Mp1g01300"
"Mp1g01310"	"-"
"Mp1g01320"	"Mp1g01320"
"Mp1g01330"	"Mp1g01330"
"Mp1g01340"	"Mp1g01340"
"Mp1g01350"	"Mp1g01350"
"Mp1g01360"	"Mp1g01360"
"Mp1g01370"	"Mp1g01370"
"Mp1g01380"	"Mp1g01380"
"Mp1g01390"	"Mp1g01390"
"Mp1g01400"	"Mp1g01400"
"Mp1g01410"	"Mp1g01410"
"Mp1g01420"	"Mp1g01420"
"Mp1g01430"	"Mp1g01430"
"Mp1g01440"	"Mp1g01440"
"Mp1g01450"	"Mp1g01450"
"Mp1g01460"	"Mp1g01460"
"Mp1g01470"	"Mp1g01470"
"Mp1g01480"	"Mp1g01480"
"Mp1g01490"	"Mp1g01490"
"Mp1g01500"	"Mp1g01500"
"Mp1g01510"	"Mp1g01510"
"Mp1g01520"	"Mp1g01520"
"Mp1g01530"	"Mp1g01530"
"Mp1g01540"	"Mp1g01540"
"Mp1g01550"	"Mp1g01550"
"Mp1g01560"	"Mp1g01560"
"Mp1g01570"	"Mp1g01570"
"Mp1g01580"	"Mp1g01580"
"Mp1g01590"	"Mp1g01590"
"Mp1g01600"	"Mp1g01600"
"Mp1g01610"	"Mp1g01610"
"Mp1g01620"	"Mp1g01620"
"Mp1g01630"	"Mp1g01630"
"Mp1g01640"	"Mp1g01640"
"Mp1g01650"	"Mp1g01650"
"Mp1g01660"	"-"
"Mp1g01670"	"Mp1g01670"
"Mp1g01675"	"Mp1g01675"
"Mp1g01680"	"Mp1g01680"
"Mp1g01690"	"Mp1g01690"
"Mp1g01700"	"Mp1g01700"
"Mp1g01710"	"Mp1g01710"
"Mp1g01720"	"Mp1g01720"
"Mp1g01730"	"Mp1g01730"
"Mp1g01740"	"Mp1g01740"
"Mp1g01750"	"Mp1g01750"
"Mp1g01760"	"-"
"Mp1g01770"	"Mp1g01770"
"Mp1g01780"	"Mp1g01780"
"Mp1g01790"	"Mp1g01790"
"Mp1g01800"	"-"
"Mp1g01810"	"Mp1g01810"
"Mp1g01820"	"Mp1g01820"
"Mp1g01830"	"Mp1g01830"
"Mp1g01840"	"Mp1g01840"
"Mp1g01850"	"Mp1g01850"
"Mp1g01860"	"Mp1g01860"
"Mp1g01870"	"Mp1g01870"
"Mp1g01880"	"Mp1g01880"
"Mp1g01890"	"Mp1g01890"
"Mp1g01900"	"Mp1g01900"
"Mp1g01910"	"Mp1g01910"
"Mp1g01920"	"Mp1g01920"
"Mp1g01930"	"Mp1g01930"
"Mp1g01940"	"Mp1g01940"
"Mp1g01950"	"Mp1g01950"
"Mp1g01960"	"Mp1g01960"
"Mp1g01970"	"Mp1g01970"
"Mp1g01980"	"Mp1g01980"
"Mp1g01990"	"Mp1g01990"
"Mp1g02000"	"Mp1g02000"
"Mp1g02010"	"Mp1g02010"
"Mp1g02020"	"Mp1g02020"
"Mp1g02030"	"Mp1g02030"
"Mp1g02040"	"Mp1g02040"
"Mp1g02050"	"Mp1g02050"
"Mp1g02060"	"Mp1g02060"
"Mp1g02070"	"Mp1g02070"
"Mp1g02080"	"Mp1g02080"
"Mp1g02090"	"Mp1g02090"
"Mp1g02100"	"-"
"Mp1g02110"	"-"
"Mp1g02120"	"Mp1g02120"
"Mp1g02130"	"Mp1g02130"
"Mp1g02140"	"Mp1g02140"
"Mp1g02150"	"Mp1g02150"
"Mp1g02160"	"Mp1g02160"
"Mp1g02170"	"Mp1g02170"
"Mp1g02180"	"Mp1g02180"
"Mp1g02190"	"Mp1g02190"
"Mp1g02200"	"Mp1g02200"
"Mp1g02210"	"Mp1g02210"
"Mp1g02220"	"Mp1g02220"
"Mp1g02230"	"Mp1g02230"
"Mp1g02240"	"Mp1g02240"
"Mp1g02250"	"Mp1g02250"
"Mp1g02260"	"Mp1g02260"
"Mp1g02270"	"Mp1g02270"
"Mp1g02280"	"Mp1g02280"
"Mp1g02290"	"Mp1g02290"
"Mp1g02300"	"Mp1g02300"
"Mp1g02310"	"Mp1g02310"
"Mp1g02320"	"Mp1g02320"
"Mp1g02330"	"Mp1g02330"
"Mp1g02340"	"Mp1g02340"
"Mp1g02350"	"Mp1g02350"
"Mp1g02360"	"Mp1g02360"
"Mp1g02370"	"Mp1g02370"
"Mp1g02380"	"Mp1g02380"
"Mp1g02390"	"Mp1g02390"
"Mp1g02400"	"Mp1g02400"
"Mp1g02410"	"Mp1g02410"
"Mp1g02420"	"Mp1g02420"
"Mp1g02430"	"Mp1g02430"
"Mp1g02440"	"Mp1g02440"
"Mp1g02450"	"Mp1g02450"
"Mp1g02460"	"-"
"Mp1g02470"	"Mp1g02470"
"Mp1g02480"	"Mp1g02480"
"Mp1g02490"	"Mp1g02490"
"Mp1g02500"	"Mp1g02500"
"Mp1g02510"	"Mp1g02510"
"Mp1g02520"	"Mp1g02520"
"Mp1g02530"	"Mp1g02530"
"Mp1g02540"	"Mp1g02540"
"Mp1g02550"	"Mp1g02550"
"Mp1g02560"	"Mp1g02560"
"Mp1g02570"	"Mp1g02570"
"Mp1g02580"	"Mp1g02580"
"Mp1g02590"	"Mp1g02590"
"Mp1g02600"	"Mp1g02600"
"Mp1g02610"	"Mp1g02610"
"Mp1g02620"	"Mp1g02620"
"Mp1g02630"	"Mp1g02630"
"Mp1g02640"	"Mp1g02640"
"Mp1g02650"	"Mp1g02650"
"Mp1g02660"	"Mp1g02660"
"Mp1g02665"	"Mp1g02665"
"Mp1g02670"	"Mp1g02670"
"Mp1g02680"	"Mp1g02680"
"Mp1g02690"	"Mp1g02690"
"Mp1g02700"	"Mp1g02700"
"Mp1g02710"	"Mp1g02710"
"Mp1g02720"	"Mp1g02720"
"Mp1g02730"	"Mp1g02730"
"Mp1g02740"	"Mp1g02740"
"Mp1g02750"	"Mp1g02750"
"Mp1g02760"	"Mp1g02760"
"Mp1g02770"	"Mp1g02770"
"Mp1g02780"	"Mp1g02780"
"Mp1g02790"	"Mp1g02790"
"Mp1g02800"	"-"
"Mp1g02810"	"Mp1g02810"
"Mp1g02820"	"Mp1g02820"
"Mp1g02830"	"Mp1g02830"
"Mp1g02840"	"Mp1g02840"
"Mp1g02850"	"Mp1g02850"
"Mp1g02860"	"Mp1g02860"
"Mp1g02870"	"-"
"Mp1g02880"	"Mp1g02880"
"Mp1g02885"	"Mp1g02885"
"Mp1g02890"	"Mp1g02890"
"Mp1g02900"	"Mp1g02900"
"Mp1g02910"	"Mp1g02910"
"Mp1g02920"	"Mp1g02920"
"Mp1g02930"	"Mp1g02930"
"Mp1g02940"	"Mp1g02940"
"Mp1g02950"	"Mp1g02950"
"Mp1g02960"	"Mp1g02960"
"Mp1g02970"	"Mp1g02970"
"Mp1g02980"	"Mp1g02980"
"Mp1g02990"	"Mp1g02990"
"Mp1g03000"	"Mp1g03000"
"Mp1g03010"	"Mp1g03010"
"Mp1g03020"	"Mp1g03020"
"Mp1g03030"	"Mp1g03030"
"Mp1g03040"	"Mp1g03040"
"Mp1g03050"	"-"
"Mp1g03060"	"Mp1g03060"
"Mp1g03070"	"Mp1g03070"
"Mp1g03080"	"Mp1g03080"
"Mp1g03090"	"Mp1g03090"
"Mp1g03100"	"Mp1g03100"
"Mp1g03110"	"Mp1g03110"
"Mp1g03120"	"Mp1g03120"
"Mp1g03130"	"Mp1g03130"
"Mp1g03140"	"Mp1g03140"
"Mp1g03150"	"Mp1g03150"
"Mp1g03160"	"Mp1g03160"
"Mp1g03170"	"Mp1g03170"
"Mp1g03180"	"Mp1g03180"
"Mp1g03190"	"Mp1g03190"
"Mp1g03200"	"Mp1g03200"
"Mp1g03210"	"Mp1g03210"
"Mp1g03220"	"Mp1g03220"
"Mp1g03230"	"Mp1g03230"
"Mp1g03240"	"Mp1g03240"
"Mp1g03250"	"Mp1g03250"
"Mp1g03260"	"Mp1g03260"
"Mp1g03270"	"Mp1g03270"
"Mp1g03280"	"Mp1g03280"
"Mp1g03290"	"Mp1g03290"
"Mp1g03300"	"Mp1g03300"
"Mp1g03310"	"Mp1g03310"
"Mp1g03320"	"Mp1g03320"
"Mp1g03330"	"-"
"Mp1g03340"	"Mp1g03340"
"Mp1g03350"	"-"
"Mp1g03360"	"Mp1g03360"
"Mp1g03370"	"Mp1g03370"
"Mp1g03380"	"Mp1g03380"
"Mp1g03390"	"Mp1g03390"
"Mp1g03400"	"Mp1g03400"
"Mp1g03410"	"Mp1g03410"
"Mp1g03420"	"Mp1g03420"
"Mp1g03430"	"Mp1g03430"
"Mp1g03440"	"Mp1g03440"
"Mp1g03450"	"Mp1g03450"
"Mp1g03460"	"Mp1g03460"
"Mp1g03470"	"-"
"Mp1g03480"	"Mp1g03480"
"Mp1g03490"	"Mp1g03490"
"Mp1g03500"	"Mp1g03500"
"Mp1g03510"	"Mp1g03510"
"Mp1g03520"	"-"
"Mp1g03530"	"Mp1g03530"
"Mp1g03540"	"Mp1g03540"
"Mp1g03550"	"Mp1g03550"
"Mp1g03560"	"Mp1g03560"
"Mp1g03570"	"Mp1g03570"
